Loaded training data: 1281167 classes: 1000
Loaded validation data: 50000 classes: 1000
Data loaded
Loaded 5 batches in 0.85 seconds
train classes: 1000
model head: 1000
Starting fresh training (no resume).
CC: (8, 9)
TF32 matmul: True
TF32 cudnn: True
[Epoch 0] start — noise=5.0e-04, kd_scale=1.00, T=3
[E3 B18800] CE 4.7702 | KD 0.1624
[E3 B19000] CE 5.1714 | KD 0.1979
[E3 B19200] CE 4.9648 | KD 0.1633
[E3 B19400] CE 4.9366 | KD 0.1484
[E3 B19600] CE 4.7434 | KD 0.1621
[E3 B19800] CE 5.3422 | KD 0.1653
[E3 B20000] CE 4.9721 | KD 0.1556
Epoch [4] SADT | CE: 4.9966 | KD: 0.1393 | Top-1: 13.95% (batches: CE=20019, KD=20019)
[VAL (student)] Loss: 4.6136 | Top-1: 18.53% | Top-5: 39.99%
[VAL (EMA)] Loss: 4.4586 | Top-1: 21.44% | Top-5: 43.93%
[Epoch 4] start — noise=5.0e-04, kd_scale=1.00, T=3
[E4 B0] CE 4.9420 | KD 0.1560
[E4 B200] CE 4.9820 | KD 0.1814
[E4 B400] CE 4.5308 | KD 0.1662
[E4 B600] CE 4.8611 | KD 0.1828
[E4 B800] CE 4.8733 | KD 0.1335
[E4 B1000] CE 4.8880 | KD 0.1446
[E4 B1200] CE 4.7844 | KD 0.1582
[E4 B1400] CE 4.7686 | KD 0.2160
[E4 B1600] CE 4.7598 | KD 0.1466
[E4 B1800] CE 4.9089 | KD 0.1959
[E4 B2000] CE 4.9489 | KD 0.1599
[E4 B2200] CE 4.7693 | KD 0.1996
[E4 B2400] CE 4.9562 | KD 0.1691
[E4 B2600] CE 4.7604 | KD 0.1619
[E4 B2800] CE 4.8318 | KD 0.1607
[E4 B3000] CE 4.8409 | KD 0.1748
[E4 B3200] CE 4.9303 | KD 0.1903
[E4 B3400] CE 4.7642 | KD 0.1870
[E4 B3600] CE 4.9023 | KD 0.1546
[E4 B3800] CE 4.8394 | KD 0.1708
[E4 B4000] CE 5.2058 | KD 0.1696
[E4 B4200] CE 5.0733 | KD 0.1514
[E4 B4400] CE 4.5041 | KD 0.1437
[E4 B4600] CE 4.6784 | KD 0.1634
[E4 B4800] CE 4.6648 | KD 0.1418
[E4 B5000] CE 4.7728 | KD 0.1583
[E4 B5200] CE 4.6589 | KD 0.1388
[E4 B5400] CE 4.8408 | KD 0.1415
[E4 B5600] CE 4.5626 | KD 0.1332
[E4 B5800] CE 4.9512 | KD 0.1146
[E4 B6000] CE 4.9671 | KD 0.1144
[E4 B6200] CE 4.8604 | KD 0.1424
[E4 B6400] CE 4.8889 | KD 0.1450
[E4 B6600] CE 4.9364 | KD 0.1044
[E4 B6800] CE 4.7952 | KD 0.1044
[E4 B7000] CE 4.8174 | KD 0.1440
[E4 B7200] CE 4.9962 | KD 0.1091
[E4 B7400] CE 4.9400 | KD 0.1141
[E4 B7600] CE 4.8387 | KD 0.1483
[E4 B7800] CE 5.0240 | KD 0.1138
[E4 B8000] CE 4.7796 | KD 0.1148
[E4 B8200] CE 5.2774 | KD 0.1289
[E4 B8400] CE 4.6538 | KD 0.1508
[E4 B8600] CE 4.9686 | KD 0.1253
[E4 B8800] CE 5.0632 | KD 0.1373
[E4 B9000] CE 5.0722 | KD 0.1188
[E4 B9200] CE 5.2289 | KD 0.0919
[E4 B9400] CE 4.8885 | KD 0.1365
[E4 B9600] CE 4.5397 | KD 0.1050
[E4 B9800] CE 5.0787 | KD 0.1015
[E4 B10000] CE 4.7645 | KD 0.1295
[E4 B10200] CE 5.3580 | KD 0.1191
[E4 B10400] CE 5.2936 | KD 0.1462
[E4 B10600] CE 4.5549 | KD 0.1427
[E4 B10800] CE 4.9083 | KD 0.1315
[E4 B11000] CE 5.1331 | KD 0.1443
[E4 B11200] CE 4.6070 | KD 0.1567
[E4 B11400] CE 4.6191 | KD 0.1857
[E4 B11600] CE 5.1866 | KD 0.1601
[E4 B11800] CE 4.3864 | KD 0.1665
[E4 B12000] CE 4.7148 | KD 0.1887
[E4 B12200] CE 4.8284 | KD 0.2137
[E4 B12400] CE 4.7751 | KD 0.1633
[E4 B12600] CE 4.4545 | KD 0.1741
[E4 B12800] CE 4.7668 | KD 0.1803
[E4 B13000] CE 4.8148 | KD 0.1657
[E4 B13200] CE 5.0873 | KD 0.2016
[E4 B13400] CE 4.8479 | KD 0.1436
[E4 B13600] CE 4.6346 | KD 0.1925
[E4 B13800] CE 4.6296 | KD 0.1546
[E4 B14000] CE 4.9211 | KD 0.1669
[E4 B14200] CE 4.5907 | KD 0.2433
[E4 B14400] CE 4.8696 | KD 0.2039
[E4 B14600] CE 4.7973 | KD 0.1794
[E4 B14800] CE 5.0018 | KD 0.1741
[E4 B15000] CE 4.9944 | KD 0.1749
[E4 B15200] CE 4.9416 | KD 0.1537
[E4 B15400] CE 4.7512 | KD 0.2073
[E4 B15600] CE 4.4756 | KD 0.1728
[E4 B15800] CE 4.7415 | KD 0.1758
[E4 B16000] CE 4.5214 | KD 0.1804
[E4 B16200] CE 4.4089 | KD 0.2246
[E4 B16400] CE 4.8564 | KD 0.1616
[E4 B16600] CE 4.6747 | KD 0.1863
[E4 B16800] CE 4.8610 | KD 0.2013
[E4 B17000] CE 4.9897 | KD 0.1510
[E4 B17200] CE 4.7041 | KD 0.1593
[E4 B17400] CE 5.0157 | KD 0.2065
[E4 B17600] CE 4.7468 | KD 0.1447
[E4 B17800] CE 4.8930 | KD 0.1856
[E4 B18000] CE 5.0131 | KD 0.1745
[E4 B18200] CE 5.2341 | KD 0.1692
[E4 B18400] CE 4.2869 | KD 0.1612
[E4 B18600] CE 5.0613 | KD 0.1539
[E4 B18800] CE 4.5607 | KD 0.1444
[E4 B19000] CE 5.0868 | KD 0.1836
[E4 B19200] CE 4.7436 | KD 0.1670
[E4 B19400] CE 4.6593 | KD 0.1738
[E4 B19600] CE 4.8557 | KD 0.1941
[E4 B19800] CE 4.8990 | KD 0.1735
[E4 B20000] CE 4.7370 | KD 0.1811
Epoch [5] SADT | CE: 4.8326 | KD: 0.1584 | Top-1: 16.42% (batches: CE=20019, KD=20019)
